,id,type,address,number,postal_code,municipality,province,public,available,hours,latitude,longitude
15626,6720.0,Appareil Fixe-Vast Apparaat,Hoge Mauw,460.0,2370,Arendonk,Antwerpen,Yes,Yes,,51.29978355,5.104334062075511
15627,6721.0,Appareil Fixe-Vast Apparaat,Hoge Mauw,460.0,2370,Arendonk,Antwerpen,Yes,Yes,,51.29978355,5.104334062075511
15628,6716.0,Appareil Fixe-Vast Apparaat,Hoge Mauw,460.0,2370,Arendonk,Antwerpen,Yes,Yes,,51.29978355,5.104334062075511
15629,6717.0,Appareil Fixe-Vast Apparaat,Hoge Mauw,460.0,2370,Arendonk,Antwerpen,Yes,Yes,,51.29978355,5.104334062075511
15630,6714.0,Appareil Fixe-Vast Apparaat,Huiskens,11.0,2370,Arendonk,Antwerpen,Yes,Yes,,51.30466615,5.095200173668932
15631,6715.0,Appareil Fixe-Vast Apparaat,Hoge Mauw,1510.0,2370,Arendonk,Antwerpen,Yes,Yes,,51.30035205,5.099617997445105
15632,6711.0,Appareil Fixe-Vast Apparaat,Buizemontstraat,70.0,9500,Geraardsbergen,Oost-Vlaanderen,Yes,Yes,,50.7689534,3.8840956335326586
15633,6711.0,Appareil Fixe-Vast Apparaat,Buizemontstraat,70.0,9500,Geraardsbergen,Oost-Vlaanderen,Yes,Yes,,50.7689534,3.8840956335326586
15634,6712.0,Appareil Fixe-Vast Apparaat,Baljuwstraat,31.0,9500,Geraardsbergen,Oost-Vlaanderen,Yes,Yes,,50.7639319,3.8892527
15635,6712.0,Appareil Fixe-Vast Apparaat,Baljuwstraat,31.0,9500,Geraardsbergen,Oost-Vlaanderen,Yes,Yes,,50.7639319,3.8892527
15636,9183.0,Appareil Fixe-Vast Apparaat,Schouwkensstraat,10.0,2030,Antwerpen,Antwerpen,Yes,Yes,,51.2716704,4.384964191722033
15637,7353.0,Appareil Fixe-Vast Apparaat,Zwalmlaan,3.0,9630,Zwalm,Oost-Vlaanderen,Yes,Yes,,50.87712885,3.7355504947857883
15638,7352.0,Appareil Fixe-Vast Apparaat,Schoolstraat,4.0,9520,Sint-Lievens-Houtem,Oost-Vlaanderen,Yes,Yes,,50.896742599999996,4.0671950065695315
15639,7352.0,Appareil Fixe-Vast Apparaat,Schoolstraat,4.0,9520,Sint-Lievens-Houtem,Oost-Vlaanderen,Yes,Yes,,50.896742599999996,4.0671950065695315
15640,7354.0,Appareil Fixe-Vast Apparaat,De Tramzate,9.0,9550,Herzele,Oost-Vlaanderen,Yes,Yes,,50.8953246,3.8851529
15641,7355.0,Appareil Fixe-Vast Apparaat,De Tramzate,9.0,9550,Herzele,Oost-Vlaanderen,Yes,Yes,,50.8953246,3.8851529
15642,15622.0,Appareil Fixe-Vast Apparaat,Lyceumstraat,12.0,9620,Zottegem,Oost-Vlaanderen,Yes,Yes,,50.8692149,3.815967419789949
15643,7367.0,Appareil Fixe-Vast Apparaat,Europalaan,99.0,2470,Retie,Antwerpen,Yes,Yes,,51.28662705,5.0919482149591
15644,7574.0,Appareil Fixe-Vast Apparaat,Hoge Mauw,900.0,2370,Arendonk,Antwerpen,Yes,Yes,,51.3028381,5.111668092633662
15645,7422.0,Appareil Fixe-Vast Apparaat,Geelsebaan,97.0,2460,Kasterlee,Antwerpen,Yes,Yes,,51.24954135,5.074321114276794
15646,15623.0,Appareil Fixe-Vast Apparaat,Isschot,24.0,2460,Kasterlee,Antwerpen,Yes,Yes,,51.250834749999996,4.985355152492261
15647,7573.0,Appareil Fixe-Vast Apparaat,Winkelomseheide,186.0,2440,Geel,Antwerpen,Yes,Yes,,51.1266875,5.0117597
15648,7581.0,Appareil Fixe-Vast Apparaat,Moerenstraat,,2370,Arendonk,Antwerpen,Yes,Yes,,51.3164076,5.1281114
15649,7579.0,Appareil Fixe-Vast Apparaat,Hoge Mauw,860.0,2370,Arendonk,Antwerpen,Yes,Yes,,51.3021335,5.113818201908639
15650,7580.0,Appareil Fixe-Vast Apparaat,Moerenstraat,89.0,2370,Arendonk,Antwerpen,Yes,Yes,,51.3183946,5.1333473025431235
15651,7578.0,Appareil Fixe-Vast Apparaat,Van Eycklaan,8.0,2370,Arendonk,Antwerpen,Yes,Yes,,51.32286895,5.085242532165639
15652,15624.0,Appareil Fixe-Vast Apparaat,Ottergemsesteenweg,417.0,9000,Gent,Oost-Vlaanderen,Yes,Yes,,51.0289601,3.7318108
15653,3277.0,Appareil Fixe-Vast Apparaat,Promenade De L Alma,50.0,1200,Woluwe-Saint-Lambert,,Yes,No,8H00-18H30,50.8502614,4.4544857
15654,12731.0,Appareil Fixe-Vast Apparaat,Poederstraat,30.0,2370,Arendonk,Antwerpen,Yes,Yes,,51.3316192,5.125501623339483
15655,12739.0,Appareil Fixe-Vast Apparaat,Groenstraat,13.0,1930,Zaventem,Vlaams-Brabant,Yes,Yes,,50.887293299999996,4.468830492196521
15656,12740.0,Appareil Fixe-Vast Apparaat,Hoogstraat,3.0,1930,Zaventem,Vlaams-Brabant,Yes,Yes,,50.7665717,4.30895167616959
15657,7612.0,Appareil Fixe-Vast Apparaat,Kleitkalseide,193.0,9990,Maldegem,Oost-Vlaanderen,Yes,Yes,,51.171232450000005,3.4468616270887726
15658,7614.0,Appareil Fixe-Vast Apparaat,Jezus-Eiksesteenweg,13.0,1560,Hoeilaart,Vlaams-Brabant,Yes,Yes,,50.7714263,4.471389923044082
15659,7714.0,Appareil Fixe-Vast Apparaat,Terbeeksestraat,,2321,Hoogstraten,Antwerpen,Yes,Yes,,51.4283567,4.7135243
15660,7723.0,Appareil Fixe-Vast Apparaat,Dorp,29.0,9450,Haaltert,Oost-Vlaanderen,Yes,Yes,,50.8558506,4.053607849640324
15661,15625.0,Appareil Fixe-Vast Apparaat,Industrieweg,1201.0,3540,Herk-de-Stad,Limburg,No,Yes,,50.94765945,5.162118890356495
15662,15626.0,Appareil Fixe-Vast Apparaat,Stoktsestraat,,2300,Turnhout,Antwerpen,No,Yes,,51.3270954,4.9121509
15663,15628.0,Appareil Fixe-Vast Apparaat,Groenmolenstraat,1108.0,3570,Alken,Limburg,No,No,08:00 - 17:00,50.8839338,5.2981505
15664,15629.0,Appareil Fixe-Vast Apparaat,SchaliÃ«nhoevedreef,,2800,Mechelen,Antwerpen,No,No,09:00 Tot 17:00 Uur Op Weekdagen,,
15665,15630.0,Appareil Fixe-Vast Apparaat,Tielendorp,43.0,2460,Kasterlee,Antwerpen,No,No,,51.2408059,4.899317172638991
15666,15631.0,Appareil Fixe-Vast Apparaat,Antwerpsesteen,37.0,2350,Vosselaar,Antwerpen,No,No,,51.315407,4.89858925471332
15667,15632.0,Appareil Fixe-Vast Apparaat,College Saint-Louis Rue Alfred-Magis,20.0,4020,Liège,Liège,Yes,No,7H45-17H,,
15668,15633.0,Appareil Fixe-Vast Apparaat,Gentseweg,,9120,Beveren,Oost-Vlaanderen,Yes,No,07.30Uur Tot 17.00,51.1911383,4.2071359
15669,15634.0,Appareil Fixe-Vast Apparaat,Rue Pepin,7.0,5000,Namur,Namur,No,Yes,,50.46512485,4.867300192232996
15670,15635.0,Appareil Fixe-Vast Apparaat,Rijselsestraat,28.0,8500,Kortrijk,West-Vlaanderen,Yes,No,Variabel,50.8277317,3.262436722669868
15671,15636.0,Appareil Fixe-Vast Apparaat,Vlasstraat,35.0,3920,Lommel,Limburg,Yes,No,8-20U,51.0348913,5.711254
15672,15637.0,Appareil Fixe-Vast Apparaat,Bos -En Bremdreef,4.0,2460,Kasterlee,Antwerpen,Yes,Yes,,51.258915900000005,5.026406382048796
15673,15638.0,Appareil Fixe-Vast Apparaat,Strandweg,6.0,2275,Lille,Antwerpen,Yes,Yes,,51.2830302,4.8374347
15674,7724.0,Appareil Fixe-Vast Apparaat,Gentsevaart,21.0,4565,,,Yes,Yes,,,
